EDAD,Básico,Pér. Org.,Muerte Acc,Muerte Acc Col,Invalidez,Otros,Certificados,Reaseguro
24, -   , -   , -   , -   , -   ," 25,000 ",1,Automático
31, -   , -   , -   , -   , -   ," 10,000 ",20,Automático
33, -   , -   , -   , -   , -   ," 25,000 ",5,Automático
35, -   , -   , -   , -   , -   ," 10,000 ",9,Automático
39, -   , -   , -   , -   , -   ," 25,000 ",9,Automático
42, -   , -   , -   , -   , -   ," 10,000 ",2,Automático
47, -   , -   , -   , -   , -   ," 25,000 ",1,Automático
48, -   , -   , -   , -   , -   ," 7,500 ",56,Automático
52, -   , -   , -   , -   , -   ," 25,000 ",10,Automático
54, -   , -   , -   , -   , -   ," 10,000 ",2,Automático
54, -   , -   , -   , -   , -   ," 25,000 ",1,Automático
58, -   , -   , -   , -   , -   ," 10,000 ",4,Automático
59, -   , -   , -   , -   , -   ," 15,000 ",5,Automático
66, -   , -   , -   , -   , -   ," 7,500 ", 26 ,Automático
39, -   , -   , -   , -   , -   ," 60,076 ",1,Facultativo
53, -   , -   , -   , -   , -   ," 56,783 ",10,Facultativo
57, -   , -   , -   , -   , -   ," 60,076 ",8,Facultativo
61, -   , -   , -   , -   , -   ," 56,783 ",9,Facultativo
64, -   , -   , -   , -   , -   ," 45,057 ",15,Facultativo
28, 1 , -   , -   , -   , -   , -   ,12,Automático
46, 1 , -   , -   , -   , -   , -   ,1,Automático
64, 1 , -   , -   , -   , -   ," 25,000 ", 6 ,Automático
39, 1 , -   , -   , -   , -   , -   ,1,Automático
56, 1 , -   , -   , -   , -   , -   ,3,Automático
41, 1 , -   , -   , -   , -   ," 184,245 ", 1 ,Retención
53, 1 , -   , -   , -   , -   ," 242,465 ", 1 ,Retención
58, 1 , -   , -   , -   , -   ," 446,209 ", 1 ,Retención
59, 1 , -   , -   , -   , -   ," 317,404 ", 1 ,Retención
29, 2 , -   , -   , -   , -   , -   ,2,Automático
37, 2 , -   , -   , -   , -   , -   ,1,Automático
41, 3 , -   , -   , -   , -   , -   ,2,Automático
33, 3 , -   , -   , -   , -   , -   ,1,Automático
41, 6 , -   , -   , -   , -   , -   ,1,Automático
56, 6 , -   , -   , -   , -   , -   ,1,Automático
45, 7 , -   , -   , -   , -   , -   ,1,Automático
32, 8 , -   , -   , -   , -   , -   ,1,Automático
63, 8 , -   , -   , -   , -   , -   , 1 ,Automático
30, 8 , -   , -   , -   , -   , -   ,2,Automático
52, 9 , -   , -   , -   , -   , -   ,1,Automático
50, 10 , -   , -   , -   , -   , -   ,1,Automático
39, 11 , -   , -   , -   , -   , -   ,1,Automático
43, 13 , -   , -   , -   , -   , -   ,1,Automático
51, 13 , -   , -   , -   , -   , -   ,1,Automático
26, 13 , -   , -   , -   , -   , -   ,9,Automático
71, 13 , -   , -   , -   , -   , -   ,3,Automático
57, 16 , -   , -   , -   , -   , -   ,1,Facultativo
28, 17 , -   , -   , -   , -   , -   ,1,Automático
57, 17 , -   , -   , -   , -   , -   ,1,Automático
71, 17 , -   , -   , -   , -   , -   ,1,Automático
30, 18 , -   , -   , -   , -   , -   ,1,Automático
41, 19 , -   , -   , -   , -   , -   ,2,Automático
32, 19 , -   , -   , -   , -   , -   ,3,Automático
29, 24 , -   , -   , -   , -   , -   ,1,Automático
53, 24 , -   , -   , -   , -   , -   ,1,Automático
23, 25 , -   , -   , -   , -   , -   ,1,Automático
41, 25 , -   , -   , -   , -   , -   ,1,Automático
33, 26 , -   , -   , -   , -   , -   ,1,Automático
54, 26 , -   , -   , -   , -   , -   ,1,Automático
32, 26 , -   , -   , -   , -   , -   ,4,Automático
34, 27 , -   , -   , -   , -   , -   ,1,Automático
49, 27 , -   , -   , -   , -   , -   ,2,Automático
49, 27 , -   , -   , -   , -   , -   ,2,Automático
47, 28 , -   , -   , -   , -   , -   ,2,Automático
60, 28 , -   , -   , -   , -   , -   ,2,Automático
63, 28 , -   , -   , -   , -   , -   , 1 ,Automático
28, 29 , -   , -   , -   , -   , -   ,1,Automático
68, 29 , -   , -   , -   , -   , -   ,1,Automático
22, 30 , -   , -   , -   , -   , -   ,1,Automático
41, 31 , -   , -   , -   , -   , -   ,2,Automático
64, 31 , -   , -   , -   , -   , -   , 2 ,Automático
30, 31 , -   , -   , -   , -   , -   ,1,Automático
38, 31 , -   , -   , -   , -   , -   ,3,Automático
47, 31 , -   , -   , -   , -   , -   ,1,Automático
37, 32 , -   , -   , -   , -   , -   ,1,Automático
27, 33 , -   , -   , -   , -   , -   ,2,Automático
37, 34 , -   , -   , -   , -   , -   ,3,Automático
